ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R,CLASS
156.2228961699912,238.16659046236856,6.50650352622791,8.428509936213564,22.401296296821442,27.204533889042583,2575.5741843193864,3129.5643494783135,sad
152.07143511460026,115.66720066344408,5.484117525683691,5.06334986003272,13.409073194153658,11.177334450429708,1106.6066012469034,1173.1277792462918,sad
285.4425070928829,231.22260788411361,8.438588628741444,8.17228127822232,12.75418898518039,16.63098196549998,1340.6045118183824,2061.5480445955923,sad
53.59415778796819,131.9622088648358,4.625753185642155,5.156315968922269,21.06750227458712,17.144895695319327,1599.903461187346,4814.920004500343,sad
138.60888201528917,252.492171016436,10.518602830462767,13.077469044121939,11.691543949089645,18.144929385325426,980.1287822240209,2099.9837156103285,sad
59.66219250663031,269.97966688160744,5.599385925880334,14.79259178773484,19.517229457276134,33.75881775327694,3579.509976791731,5154.168889017045,sad
556.9421368667678,383.44276552393114,17.749341122309485,9.042233066207476,27.824626004629668,14.621386179492132,7421.179729754016,7872.255605142612,sad
530.4357078537162,393.8949038928511,28.798347586759434,9.054675138479665,60.13914706608117,20.364628241008916,4696.714656207373,6826.636034319886,sad
199.32452501519992,145.66537928996962,8.617431941657633,5.458527120652934,27.31982477835709,16.417947527012362,6698.092303096064,8451.515427513905,sad
79.58835343055387,173.150539530937,7.51174827243365,12.191433424883426,36.47037221306389,42.708810713263354,2024.9963523198332,3281.675626487294,sad
223.86847125378017,238.60189922174894,12.545842640852626,8.071678754679125,21.311673468890767,25.3893719326157,3683.6303482661315,8170.291765515673,sad
262.9855949229813,241.08020667959678,12.689351941286066,12.004389093955128,17.337609924458896,16.07848111564976,2663.459308435699,5524.663097170666,sad
316.0164531777287,144.42850629765584,23.2006041857641,11.443185058620188,35.763543683664814,15.530408574302028,2990.782835580827,1721.7113238732406,sad
829.6827631913253,922.8751617676227,12.13251708626835,14.075983824954578,40.035375863949845,42.19493315584276,3433.055811584508,7748.636458407021,sad
293.1800074474011,238.53806618564565,6.151317180937069,5.613603506625433,10.96113976910045,8.082980334888692,2785.278929507272,4062.3353735215123,sad
277.28590716938453,203.72333737099152,13.783250584229338,9.095196538031002,35.675504535746505,23.734487933747626,2833.059256884117,2402.0987492465138,sad
99.49827923026147,121.96935897045124,6.577019301731958,4.732431465588206,21.867741317619636,20.225224548312458,1206.4166074672055,3259.7097831907927,sad
111.03136437821367,196.33518787581693,3.822020730238471,5.2181124507781504,15.170293894602084,9.921235093965587,1685.0059568540105,4565.691231190897,sad
49.16131925897609,50.527781043632515,6.298550734603886,6.1812896547306275,26.79062363081624,24.02404578535709,2401.632273789382,4483.514758553507,sad
248.51573232265585,149.04698526521335,11.990299155760427,8.291116774521997,15.865456128663139,12.357400568647686,3601.2108689868787,4573.914323337691,sad
150.84275653476087,153.58505629632637,6.814543976179451,3.7139300258313837,33.051464565652545,15.234358292466483,1747.4603894094448,1934.2911544714698,sad
177.76820113922557,157.50867821260726,5.64795177536197,7.81963023086115,12.966629724149573,11.21127502753499,1364.1197594238242,2860.3065806209233,sad
134.0324108509763,119.64364561350533,6.528084764111125,4.982825514457503,13.505879765594644,12.89455921822621,4994.018297780896,5293.5331587997225,sad
164.87727342752868,200.9461692057403,18.411046263121428,21.113489744570302,22.315894327667774,21.353546698873636,3984.2801564217266,4646.286307578641,sad
161.99203326566757,259.7149238624844,6.479351644817541,12.961521764904791,16.89259376622279,32.84153730592986,3055.4010954733176,2720.056631462417,sad
378.0244138337599,217.183892625198,19.20563526667876,11.085463537865317,29.070036974522043,3.1327561029443878,5685.0495999119385,6019.885997761622,sad
161.0773295777499,170.96312368722786,5.553604333049056,4.141341355549445,12.572326345364745,10.07614294857615,1817.3237712533048,2230.871759664979,sad
283.42800969740614,370.3650985683682,19.542508633204857,21.167809053937223,30.947136322357803,21.980177179895,2901.3506345558344,4040.4862049784088,sad
378.8118605385708,200.58188010354047,26.441451641027637,11.04951514236815,48.51931200562366,8.181638501021222,5627.5915472232755,4976.488838379018,sad
196.93287269935004,194.56441006507106,10.300248918241513,9.601809103795073,18.640468984698877,21.51477127982789,2548.3674793425525,4175.9590910293255,sad
735.3692965061891,355.4355914226873,21.971090843842127,12.965751430686208,22.74433515780151,19.48715560240429,6634.7115207169645,4841.047634655724,sad
151.80325020831637,141.1950613577146,23.164385479007873,19.156562654681977,38.121574556289836,40.57996669467407,3805.1484624721984,8129.964464066898,sad
384.30773975500534,566.3155390140026,18.67809662436241,23.567795267154867,17.142329390539857,33.68003662522408,3767.009525116287,13200.298413526118,sad
