ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R,CLASS
164.8283804046001,162.17616201739975,9.963000439705676,9.934520802857955,10.563166533856574,7.530775685701578,1101.0319185913768,1290.6055523247774,fear
60.078102766681,73.47778729356371,4.411349736874181,5.598325732558176,10.717429768145044,12.941148275897183,3089.9899473064465,2492.5188592483614,fear
26.58058196380497,38.56774257417412,2.407457077839513,3.090234951852046,6.810372627757898,6.2169523606940285,3566.1483882264943,3025.9563137519717,fear
24.582406734981276,34.90371890774922,3.6207153981430347,4.280695067947421,10.769794072980392,14.488779941452552,1025.7583791926193,691.7430670693076,fear
89.41099205645381,105.4650621224926,4.877330776720659,6.179987215173093,15.632531890803909,12.465945446556065,1955.9822659787842,2195.039761301794,fear
112.26295061639141,111.73917491614648,3.5730765572340197,4.731387051560054,31.03257534561371,43.37248541761726,1307.2235337616407,1330.6313574540031,fear
109.52679026521727,128.69602054066442,5.706406452594247,7.8142397020875425,8.153615488401758,16.477023473863383,1944.90305229075,2181.7584423119574,fear
483.8751080641167,295.73804966005525,14.781706270924044,8.237859237444232,15.756609173532036,13.516156995179163,2439.0183591892396,2008.684641813781,fear
911.4567206686075,588.3856602213625,67.07373064108829,42.0345248511958,75.55666033861999,48.36777667034825,2970.265223382044,2436.144552902027,fear
59.97263556435164,58.783410174928136,3.820817336700046,3.856030469996784,26.31149098283777,30.15345717977042,2840.5949800571866,3197.593132070468,fear
106.74308881462142,103.51533441088259,2.256911923067786,2.788772324308042,22.378254525688057,28.17627268057999,816.2100597469062,1097.9670197511412,fear
178.84916418370767,139.135276475535,5.58849967645028,7.65410093644345,13.73507675476843,14.608036843164461,2275.83893959612,2465.3861239852827,fear
113.5690226876742,125.87597328328552,3.864988853038483,5.196199604653684,22.27999902898026,16.395093258172764,6816.973138942626,6929.808271548353,fear
